condition,actor,pair_id,statement,repetition,happy_margin,sad_margin,happy_shift,sad_shift,pair_separation,delta_pair_separation,common_shift
clean,09,pair_0035,02,02,-3.542358636856079,-4.2842607498168945,0.0,0.0,0.7419021129608154,0.0,0.0
clean,10,pair_0036,01,01,-4.150804042816162,-4.659658908843994,0.0,0.0,0.508854866027832,0.0,0.0
clean,10,pair_0037,01,02,-4.401796817779541,-4.394583225250244,0.0,0.0,-0.007213592529296875,0.0,0.0
clean,10,pair_0038,02,01,-3.654942512512207,-2.569734573364258,0.0,0.0,-1.0852079391479492,0.0,0.0
clean,10,pair_0039,02,02,-3.5496907234191895,-3.347115993499756,0.0,0.0,-0.2025747299194336,0.0,0.0
clean,11,pair_0040,01,01,-4.2292304039001465,-4.656558036804199,0.0,0.0,0.42732763290405273,0.0,0.0
clean,11,pair_0041,01,02,-4.719845771789551,-4.9697065353393555,0.0,0.0,0.2498607635498047,0.0,0.0
clean,11,pair_0042,02,01,-3.600306987762451,-3.4869284629821777,0.0,0.0,-0.11337852478027344,0.0,0.0
clean,11,pair_0043,02,02,-3.6370222568511963,-3.4830188751220703,0.0,0.0,-0.15400338172912598,0.0,0.0
clean,12,pair_0044,01,01,-4.7307024002075195,-4.494531631469727,0.0,0.0,-0.23617076873779297,0.0,0.0
clean,12,pair_0045,01,02,-4.397916316986084,-4.50814151763916,0.0,0.0,0.11022520065307617,0.0,0.0
clean,12,pair_0046,02,01,-3.426363945007324,-3.8467795848846436,0.0,0.0,0.42041563987731934,0.0,0.0
clean,12,pair_0047,02,02,-3.49416446685791,-3.7190966606140137,0.0,0.0,0.22493219375610352,0.0,0.0
clean,13,pair_0048,01,01,-4.344440460205078,-4.3860063552856445,0.0,0.0,0.041565895080566406,0.0,0.0
clean,13,pair_0049,01,02,-4.29490327835083,-4.50346565246582,0.0,0.0,0.20856237411499023,0.0,0.0
clean,13,pair_0050,02,01,-3.187375545501709,-3.3296210765838623,0.0,0.0,0.14224553108215332,0.0,0.0
clean,13,pair_0051,02,02,-3.448737621307373,-3.277841091156006,0.0,0.0,-0.1708965301513672,0.0,0.0
clean,14,pair_0052,01,01,-4.171508312225342,-4.786404132843018,0.0,0.0,0.6148958206176758,0.0,0.0
clean,14,pair_0053,01,02,-4.112044811248779,-4.676085948944092,0.0,0.0,0.5640411376953125,0.0,0.0
clean,14,pair_0054,02,01,-3.5748958587646484,-3.768885374069214,0.0,0.0,0.19398951530456543,0.0,0.0
clean,14,pair_0055,02,02,-3.3426270484924316,-3.8608345985412598,0.0,0.0,0.5182075500488281,0.0,0.0
clean,15,pair_0056,01,01,-4.230840682983398,-3.936347484588623,0.0,0.0,-0.2944931983947754,0.0,0.0
clean,15,pair_0057,01,02,-4.441137313842773,-4.258543014526367,0.0,0.0,-0.18259429931640625,0.0,0.0
clean,15,pair_0058,02,01,-3.800013780593872,-3.390519142150879,0.0,0.0,-0.40949463844299316,0.0,0.0
clean,15,pair_0059,02,02,-3.5927512645721436,-4.272625923156738,0.0,0.0,0.6798746585845947,0.0,0.0
clean,16,pair_0060,01,01,-4.752762794494629,-4.683334827423096,0.0,0.0,-0.0694279670715332,0.0,0.0
clean,16,pair_0061,01,02,-4.656552314758301,-4.103060722351074,0.0,0.0,-0.5534915924072266,0.0,0.0
clean,16,pair_0062,02,01,-3.5628504753112793,-3.5368704795837402,0.0,0.0,-0.025979995727539062,0.0,0.0
clean,16,pair_0063,02,02,-3.247852325439453,-3.712739944458008,0.0,0.0,0.4648876190185547,0.0,0.0
clean,17,pair_0064,01,01,-4.453313827514648,-4.434425354003906,0.0,0.0,-0.018888473510742188,0.0,0.0
clean,17,pair_0065,01,02,-4.348764419555664,-4.28976583480835,0.0,0.0,-0.05899858474731445,0.0,0.0
clean,17,pair_0066,02,01,-3.9196739196777344,-4.150018215179443,0.0,0.0,0.23034429550170898,0.0,0.0
